Name,Temperature,Volume (ml),Calories (kcal),Caffeine (mg),Sugar (g),Fat (g),Sodium (mg),Price (KRW),Cafe,Category
HOT 더블에스프레소,HOT,59.0,22.0,237.0,0.0,0.0,0.0,1500,빽다방,커피
HOT 아메리카노,HOT,473.0,14.0,237.0,0.0,0.0,4.0,1500,빽다방,커피
ICE 아메리카노,ICE,710.0,13.0,237.0,0.0,0.0,4.0,2000,빽다방,커피
HOT 원조커피,HOT,473.0,471.0,406.0,57.0,7.0,24.0,2500,빽다방,커피
ICE 원조커피,ICE,710.0,425.0,371.0,48.0,12.0,22.0,2500,빽다방,커피
HOT 원조커피 제로슈거,HOT,473.0,372.0,489.0,0.0,18.0,87.0,2500,빽다방,커피
ICE 원조커피 제로슈거,ICE,710.0,327.0,452.0,4.0,16.0,74.0,2500,빽다방,커피
HOT 달달연유라떼,HOT,473.0,491.0,237.0,62.0,11.0,199.0,3700,빽다방,커피
ICE 달달연유라떼,ICE,710.0,394.0,237.0,54.0,9.0,135.0,3700,빽다방,커피
HOT 카페라떼,HOT,473.0,253.0,237.0,9.0,14.0,69.0,3000,빽다방,커피
ICE 카페라떼,ICE,710.0,198.0,237.0,10.0,8.0,81.0,3000,빽다방,커피
ICE 블랙펄카페라떼,ICE,710.0,429.0,118.5,59.0,6.0,115.0,4500,빽다방,커피
HOT 바닐라라떼,HOT,473.0,351.0,237.0,35.0,12.0,136.0,3700,빽다방,커피
ICE 바닐라라떼,ICE,710.0,433.0,237.0,38.0,13.0,144.0,3700,빽다방,커피
ICE 아샷추,ICE,710.0,265.0,93.0,64.0,0.0,17.0,3300,빽다방,커피
ICE 아샷망추,ICE,710.0,311.0,105.0,66.0,0.1,23.0,4300,빽다방,커피
HOT 카페모카,HOT,473.0,319.0,237.0,32.0,8.0,144.0,3500,빽다방,커피
ICE 카페모카,ICE,710.0,365.0,237.0,36.0,8.0,146.0,3500,빽다방,커피
HOT 카라멜마키아또,HOT,473.0,354.0,237.0,40.0,7.0,137.0,3500,빽다방,커피
ICE 카라멜마키아또,ICE,710.0,382.0,237.0,43.0,8.0,148.0,3500,빽다방,커피
HOT 바나나 카페라떼,HOT,473.0,297.0,119.0,40.0,7.0,156.0,4000,빽다방,커피
ICE 바나나 카페라떼,ICE,710.0,303.0,119.0,39.0,7.0,150.0,4000,빽다방,커피
ICE 바나나 커피쉐이크,ICE,710.0,380.0,119.0,63.0,4.0,209.0,4800,빽다방,커피
ICE 크림 카페라떼,ICE,710.0,357.0,237.0,32.0,13.0,126.0,3700,빽다방,커피
ICE 크림 바닐라라떼,ICE,710.0,520.0,237.0,49.0,15.0,214.0,4400,빽다방,커피
ICE 크림 카페모카,ICE,710.0,512.0,237.0,50.0,14.0,222.0,4200,빽다방,커피
ICE 콜드브루,ICE,710.0,15.0,209.0,0.0,0.0,2.0,4000,빽다방,커피
HOT 콜드브루,HOT,473.0,15.0,209.0,0.0,0.0,3.0,4000,빽다방,커피
ICE 디카페인 콜드브루,ICE,710.0,11.0,15.0,0.0,0.0,5.0,4000,빽다방,디카페인
HOT 디카페인 콜드브루,HOT,473.0,11.0,15.0,0.0,0.0,5.0,4000,빽다방,디카페인
ICE 콜드브루라떼,ICE,710.0,168.0,209.0,9.0,6.0,65.0,4500,빽다방,커피
HOT 콜드브루라떼,HOT,473.0,206.0,209.0,13.0,7.0,82.0,4500,빽다방,커피
ICE 디카페인 콜드브루라떼,ICE,710.0,162.0,15.0,9.0,5.0,90.0,4500,빽다방,디카페인
HOT 디카페인 콜드브루라떼,HOT,473.0,162.0,15.0,9.0,5.0,90.0,4500,빽다방,디카페인
ICE 콜드브루라떼 연유,ICE,710.0,379.0,209.0,36.0,9.0,115.0,5500,빽다방,커피
HOT 콜드브루라떼 연유,HOT,473.0,371.0,209.0,39.0,9.0,128.0,5500,빽다방,커피
ICE 디카페인 콜드브루라떼 연유,ICE,710.0,357.0,15.0,40.0,9.0,133.0,5500,빽다방,디카페인
HOT 디카페인 콜드브루라떼 연유,HOT,473.0,357.0,15.0,40.0,9.0,133.0,5500,빽다방,디카페인
ICE 콜드브루라떼 흑당,ICE,710.0,312.0,209.0,44.0,5.0,77.0,5500,빽다방,커피
HOT 콜드브루라떼 흑당,HOT,473.0,334.0,209.0,42.0,4.0,72.0,5500,빽다방,커피
ICE 디카페인 콜드브루라떼 흑당,ICE,710.0,280.0,15.0,45.0,4.0,87.0,5500,빽다방,디카페인
HOT 디카페인 콜드브루라떼 흑당,HOT,473.0,280.0,15.0,45.0,4.0,87.0,5500,빽다방,디카페인
ICE 빽사이즈 아메리카노,ICE,946.0,19.0,474.0,0.0,0.0,8.0,3000,빽다방,커피
ICE 빽사이즈 원조커피,ICE,946.0,646.0,564.0,73.0,18.0,34.0,3500,빽다방,커피
ICE 빽사이즈 원조커피 제로슈거,ICE,946.0,497.0,686.0,0.0,25.0,113.0,3500,빽다방,커피
ICE 빽사이즈 카페라떼,ICE,946.0,278.0,474.0,17.0,9.0,142.0,4500,빽다방,커피
ICE 빽사이즈 아샷추,ICE,946.0,297.0,167.0,68.0,0.0,22.0,4300,빽다방,커피
ICE 빽사이즈 아샷망추,ICE,946.0,500.0,215.0,106.0,0.2,28.0,6300,빽다방,커피
ICE 솜사탕 딸기 밀크쉐이크,ICE,710.0,580.0,0.0,90.0,9.0,227.0,4000,빽다방,주스/에이드/음료
HOT 뱅쇼,HOT,473.0,223.0,0.0,46.0,0.0,12.0,3800,빽다방,주스/에이드/음료
ICE 뱅쇼,ICE,710.0,210.0,0.0,46.0,0.0,10.0,3800,빽다방,주스/에이드/음료
HOT 우리쌀라떼,HOT,473.0,395.0,0.0,35.0,5.9,209.0,4000,빽다방,주스/에이드/음료
ICE 우리쌀라떼,ICE,710.0,441.0,0.0,44.0,6.2,225.0,4000,빽다방,주스/에이드/음료
ICE 우리쌀쉐이크,ICE,710.0,534.0,0.0,48.0,6.7,278.0,4500,빽다방,주스/에이드/음료
HOT 대추차,HOT,473.0,206.0,0.0,38.0,0.1,4.0,3000,빽다방,주스/에이드/음료
ICE 대추차,ICE,710.0,261.0,0.0,53.0,0.1,2.0,3000,빽다방,주스/에이드/음료
HOT 쌍화차,HOT,473.0,201.0,0.0,45.0,0.1,31.0,3000,빽다방,주스/에이드/음료
